pflegeareal,area
Tennisanlage Hegianwandweg,5428.050000011281
Burgwis/Mühlehalde,5412.26000000257
Vorgelände Rennbahn Oerlikon,5316.414999999795
Chellenweg,5263.6698007796485
Grünzug Weibelacker,5217.098959313548
Grünzug Bachwiesen,5201.044370421265
Sihlpromenade (Süd 2),5187.226467353846
Grünzug Am Suteracher,5142.935000012098
Im Hau,5078.0399999912015
Alfred-Altherr-Terrasse,4941.637197369133
Kienastenwies,4937.78999999331
Schulhaus Milchbuck,4836.78499999414
Waldrand Rumpelhalde Althoos,4816.4773178896385
Tennisanlage Lachenzelg,4798.113723512515
Turbinenplatz,4666.2799999881345
St. Moritz Anlage,4612.7843023184705
Grünauwiese,4477.074999993189
Felsenrainanlage,4474.255000009884
Schanzengraben,4422.809999999343
Birchwald,4389.309761914249
Grünzug Kühried,4365.440000010133
Hürstholzpark,4346.545000018747
Landenberganlage,4343.244999997835
Quartierpark Riesbach,4320.715000010889
Grünzug Langgrüt,4232.628709683021
Park Am Wasser,4226.156666668446
Im Hagenbrünneli,4159.170284917705
Tennisanlage Engematt,4151.110000002906
Grünzug Nebelbach,4127.414999991694
Park Guggach,4118.492448502889
Schulhaus Letzi,4113.124999976519
Böschung Binzmühlebach,4097.540000008502
Sportanlage Oberer Letten,3950.9600000021046
Süssleren,3910.004319364985
Klingenpark,3890.31000000301
Spielplatz Buchlern,3814.8449999916197
Waidbad/Waidberg,3766.305000000603
Neunbrunnenanlage,3740.580000006785
Höckler,3717.084999995816
Grossacker/Unterdorf,3697.8450000023204
Tiefenbrunnenanlage,3679.614999999143
Überdeckung Katzensee,3659.9800000106607
Gustav-Ammann-Park,3579.4600000021605
Tennisanlage Allmend Fluntern,3553.340000001342
Müseliweg,3548.900000002364
Auf der Egg,3529.5000000157397
Siriuswiese,3486.679999999438
Grünzug Kolbenhofbach,3471.4410390985404
Hallenbad Wärmebad Käferberg,3455.1549999947006
Spulenweg,3436.905000016155
Kunsteisbahn Dolder,3425.8849999991685
Chinagarten,3395.495000000631
