"Jahr","ID_Quartier","Raum","SH_Quote","SH_Beziehende","Zivil_Bevölkerung"
2021,12,"Hochschulen",0.6666666667,4,600
2021,13,"Lindenhof",6.0886829914,92,1511
2021,14,"City",11.534154535,103,893
2021,21,"Wollishofen",2.9396675559,573,19492
2021,23,"Leimbach",8.7461173778,535,6117
2021,24,"Enge",1.4388489209,136,9452
2021,31,"Alt-Wiedikon",2.9019700366,492,16954
2021,33,"Friesenberg",4.498939799,488,10847
2021,34,"Sihlfeld",4.5663425724,944,20673
2021,41,"Werd",3.2250686185,141,4372
2021,42,"Langstrasse",6.5772049086,745,11327
2021,44,"Hard",6.6795172645,797,11932
2021,51,"Gewerbeschule",5.1451187335,468,9096
2021,52,"Escher Wyss",1.8338014208,111,6053
2021,61,"Unterstrass",2.5301100425,584,23082
2021,63,"Oberstrass",1.2870514821,132,10256
2021,71,"Fluntern",0.8406346199,71,8446
2021,72,"Hottingen",1.1742042014,128,10901
2021,73,"Hirslanden",2.2924676064,161,7023
2021,74,"Witikon",1.6729969253,185,11058
2021,81,"Seefeld",2.1712268314,123,5665
2021,82,"Mühlebach",2.5365853659,156,6150
2021,83,"Weinegg",2.6290722042,138,5249
2021,91,"Albisrieden",3.0763629744,676,21974
2021,92,"Altstetten",5.2930738925,1760,33251
2021,101,"Höngg",2.2947217174,543,23663
2021,102,"Wipkingen",3.8611495409,614,15902
2021,111,"Affoltern",6.3415406539,1602,25262
2021,115,"Oerlikon",4.7746319366,1054,22075
2021,119,"Seebach",7.1683009806,1791,24985
2021,121,"Saatlen",7.3436943884,619,8429
2021,122,"Schwamendingen-Mitte",8.2983500927,850,10243
2021,123,"Hirzenbach",8.5921578218,1054,12267
2021,999,"Nicht zuordenbar",".",1067,"."
2022,11,"Rathaus",2.0237712817,63,3113
2022,12,"Hochschulen",1.023890785,6,586
2022,13,"Lindenhof",5.8085808581,88,1515
2022,14,"City",11.293859649,103,912
2022,21,"Wollishofen",3.2351472791,648,20030
2022,23,"Leimbach",8.1461128172,504,6187
2022,24,"Enge",1.4584195283,141,9668
2022,31,"Alt-Wiedikon",2.0853792386,361,17311
2022,33,"Friesenberg",4.0410639291,433,10715
2022,34,"Sihlfeld",4.5381973003,938,20669
2022,41,"Werd",2.5342943502,109,4301
2022,42,"Langstrasse",6.2456445993,717,11480
2022,44,"Hard",5.9846178497,747,12482
2022,51,"Gewerbeschule",5.0049067713,459,9171
2022,52,"Escher Wyss",1.2933178577,78,6031
2022,61,"Unterstrass",2.2635408246,532,23503
2022,63,"Oberstrass",1.1338090118,116,10231
2022,71,"Fluntern",1.0082063306,86,8530
2022,72,"Hottingen",0.9238931577,101,10932
2022,73,"Hirslanden",1.7991631799,129,7170
2022,74,"Witikon",1.6818059178,187,11119
2022,81,"Seefeld",1.8928571429,106,5600
2022,82,"Mühlebach",2.1013194331,129,6139
2022,83,"Weinegg",2.4932873034,130,5214
2022,91,"Albisrieden",2.8655728911,641,22369
2022,92,"Altstetten",5.0071993183,1704,34031
2022,101,"Höngg",2.1558594078,514,23842
2022,102,"Wipkingen",3.781903993,609,16103
2022,111,"Affoltern",6.2938158462,1607,25533
2022,115,"Oerlikon",4.3826854646,973,22201
2022,119,"Seebach",6.6109151441,1668,25231
2022,121,"Saatlen",6.4922711058,546,8410
2022,122,"Schwamendingen-Mitte",8.2946635731,858,10344
2022,123,"Hirzenbach",8.1529286823,998,12241
2022,999,"Nicht zuordenbar",".",948,"."
2023,11,"Rathaus",2,66,3129
2023,12,"Hochschulen",1,6,606
2023,13,"Lindenhof",5,74,1469
2023,14,"City",10,90,886
2023,21,"Wollishofen",3,695,20582
2023,23,"Leimbach",9,570,6157
2023,24,"Enge",2,146,9672
2023,31,"Alt-Wiedikon",2,356,17341
2023,33,"Friesenberg",4,453,10662
2023,34,"Sihlfeld",4,913,20799
2023,41,"Werd",2,90,4333
2023,42,"Langstrasse",6,690,11512
2023,44,"Hard",6,767,12580
