"nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","poi_id","elemente","gsz_id"
"84","J","0 - 5 Jahre","Korbschaukel, Hangrutsche, Sandbereich, Sitzkarussell, Federwippe","","","Aussicht, ruhige Lage","Spielplatz","sp084","Spielhügel","0084"
"79","J","0 - 5 Jahre","Rotationsgerät, Sandbereich, Federwippe, Brettschaukel, Bockrutsche","","","historische Parkanlage","Spielplatz","sp079","Hartplatz","0079"
"99","J","0 - 16 Jahre","Hängematte, Sandbereich, Wasserförderanlage, Brettschaukel, Balanciergerät, Korbschaukel, Balanciergerät, Hängematte, Kletteranlage mit Rutsche,  Pumpe, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp099","Spiel- und Liegewiese, grosse Kiesfläche","0099"
"66","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Kletteranlage mit Rutsche,  Federwippe,  Bockrutsche","","","Kleine Parkanlage","Spielplatz","sp066","Kiesplatz","0066"
"148","J","0 - 16 Jahre","Pumpe, Rotationsgerät, Brettschaukel, Kletterelement,  Denkspiel, Drehteller, Wasserspiel, Bockrutsche","","","moderne, grosszügige Parkanlage","Spielplatz","sp148","Spiel- und Liegewiese, Planschbecken","0148"
"116","J","0 - 5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Bahnkarussell, Sandbereich, Pumpe, Federwippe","","","schönes Spielschiff direkt am See","Spielplatz","sp116","grosse Kiesfläche","0116"
"174","J","0 - 16 Jahre","keine Spielgeräte","","","kleiner Bolzplatz","Spielplatz","sp174","Fussballwiese","0174"
"","N","3 - 15","Balanciergerät","","","Spielplatz im Ueberlandpark","Spielplatz","sp9654","Spiel und Sport","0126"
"188","J","0 - 9 Jahre","Brettschaukel, Sitzkarussell, Kletteranlage mit Rutsche","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp188","Spiel- und Liegewiese","0188"
"149","J","0 - 9 Jahre","Kletterelement, Pumpen, Pendelschaukel, Klettergerät, Sandbereich","","","moderne, grosszügige Parkanlage","Spielplatz","sp149","Spiel- und Liegewiese, Planschbecken, Boulderwand","0149"
"187","J","0 - 9 Jahre","Drehscheiben, Rotationsgerät, Kletterelement","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp187","Spiel- und Liegewiese","0187"
"125","J","0 - 9 Jahre","Wasserförderanlage, Stangenlabyrinth, Balanciergerät, Hängematte, Sandbereich, Korbschaukel,  Pumpe, Kletteranlage mit Rutsche","","","Quartierspielplatz","Spielplatz","sp125","Kiesplatz, Weidendschungel","0125"
"32","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Sandbereich, Federwippe, Brettschaukel, Tischtennistisch","","","grosszügig Parkanlage mit altem Baumbestand","Spielplatz","sp032","Spiel- und Liegewiese","0032"
"","N","Spielplatznummer: 171","","","","","","sp9576","","0167"
"43","J","0 - 9 Jahre","Sandbereich, Balanciergerät, Rutsche, Klettergerät, Brettschaukel, Federwippe,  Korbschaukel, Kletterturm, Pumpen","","","Einzigartiger Quartierspielplatz","Spielplatz","sp043","Spiel- und Liegewiese","0043"
"63","J","0 - 9 Jahre","Sandbereich, Seilanlage mit Rutsche, Balanciergerät, Brettschaukel","","","ruhiger Innenhof mit Kinderhort und -garten","Spielplatz","sp063","Spiel- und Liegewiese","0063"
"97","J","0 - 5 Jahre","Federwippe, Rotationsgerät,  Brettschaukel, Hangrutsche, Sandbereich","","","kleine, hügelige Spielanlage","Spielplatz","sp097","Spiel- und Liegewiese","0097"
"4","J","0 - 16 Jahre","Kletteranlage mit Rutsche, Federwippe,  Balanciergerät, Brettschaukel, Sandbereich","","","Umbau 2016","Spielplatz","sp004","Spiel- und Liegewiese","0004"
"19","J","0 - 16 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten","","","grosse Spielwiese mit Quartiertreff","Spielplatz","sp019","grosse Spiel- und Liegewiese, grosse Kiesfläche","0019"
"108","J","0 - 16 Jahre","Brettschaukel, Sitzkarussell, Sandkasten, Kletternetzpyramide, Bockrutsche, Korbschaukel","","","Quartierzentrum mit Restaurant, grosszügige Anlage mit verschiedenen Bereichen, alter Baumbestand","Spielplatz","sp108","Spiel- und Liegewiese, Planschbecken","0108"
"67","J","0 - 9 Jahre","Seilanlage mit Rutsche, Wasserspiel, Kletteranlage mit Rutsche, Einpunktschaukel, Sandbereich,  Wasserförderanlage, Kletteranlage mit Rutsche, Wasserförderanlage","","","historische Parkanlage mit schönem Baumbestand","Spielplatz","sp067","Spiel- und Liegewiese","0067"
"1","J","0 - 16 Jahre","Seilbahn, Sandkasten, Kombischaukel, Kletterelement, Drehkletterturm, Röhre, Rundlauf, Geschlossene Rutsche, Federwippe, Tischtennistisch","","","Gemeinschaftszentrum, naturnahe Umgebung","GZ mit Spielplatz","sp001","Spiel- und Liegewiese, Spielhügel, Pergola,  Grillstellen","0001"
"162","J","0 - 5 Jahre","Kletterelement, Balanciergerät, Findlinge","","","kleine Spielanlage","Spielplatz","sp162","Spielhügel","0162"
"189","J","0 - 5 Jahre","Brettschaukel, Offene Hangrutsche, Brettschaukel, Sandbereich, Pumpen, Tischtennistisch","","","moderne Parkanlage","Spielplatz","sp189","Spiel- und Liegewiese, Planschbecken","0189"
"101","J","0 - 5 Jahre","Rotationsgerät, Federwippe, Sandbereich, Hangrutsche","","","einmalige Spielanlage im Innenhof, ehemalige Bauruine als Spielplatz genutzt","Spielplatz","sp101","Kiesplatz","0101"
"134","J","0 - 9 Jahre","Bockrutsche, Brettschaukel, Hängematte, Federwippe, Pendelschaukel, Partnerschaukel, Korbschaukel, Sitzkarussell, Drehkletterturm","","","Jeweils kostenlos zugänglich von Oktober bis April","Spielplatz in Badeanlage","sp134","Spiel- und Liegewiese, Sandstrand","0134"
"87","J","0 - 5 Jahre","Sandkasten, Brettschaukel, Balkenwippe, Hangrutsche, Federwippe","","","Gemeinschaftszentrum mit übersichtlichem Aussenraum","GZ mit Spielplatz","sp087","Spiel- und Liegewiese","0087"
"47","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Karussell, Balanciergerät, Hüpfteller, Klettergerät, Tischtennistisch","","","eingezäunter Kleinkinderspielbereich unter altem Baumbestand","Spielplatz","sp047","Kleiner Kiesplatz mit Sitzmöglichkeiten","0047"
"24","J","0 - 16 Jahre","Hängematte, Seilbahn,  Hangrutsche, Geschlossene Rutsche, Kombischaukel,  Brettschaukel, Kletterelement, Balanciergerät, Korbschaukel, Sandspielgeräte, Pumpen, Wasserspiel","","","Gemeinschaftszentrum mit Tieren,  grosszügige Anlage, Velopark","GZ mit Spielplatz","sp024","Sandanlage, Spiel- und Liegewiese, Boulderwand, Spielhügel","0024"
"104a","J","0 - 9 Jahre","Bockrutsche, Federwippe, Seilbahn, Brettschaukel, Sandbereich, Federwippe, Balanciergerät, Kletteranlage mit Rutsche","","","grosszügige Spielanlage am Bach","Spielplatz","sp104a","Bach, Spiel- und Liegewiese","0104A"
"28","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Federwippe","","","Kleine Parkanlage","Spielplatz","sp028","Spiel- und Liegewiese","0028"
"117","J","0 - 5 Jahre","Federwippe, Brettschaukel","","","kleine Spielanlage","Spielplatz","sp117","grosse Kiesfläche","0117"
"","N","","","","","","","sp9622","","0088A"
"192","J","0 - 16 Jahre","keine Spielgeräte","","","Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, beaufsichtigter Bauspielplatz mit Öffnungszeiten","Bauspielplatz - privater Verei","sp192","Abenteuerspielplatz","0193"
"","N","","","","","","","sp9104","","0006"
"15","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Brettschaukel, Spielhaus, Sandbereich, Hüpfteller,  Federwippe","","","im Wald gelegener Quartierspielplatz","Spielplatz","sp015","Spiel- und Liegewiese, Planschbecken","0015"
"23","J","0-5 Jahre","Sandbereich, Brettschaukel, Kletteranlage mit Rutsche","","","Aussichtspunkt","Spielplatz","sp023","Sandanlage","0023"
"","N","","","","","","","sp9645","","TAZ007"
"59","J","0 - 9 Jahre","Kletterturm, Hüpfteller, Kletterelement, Korbschaukel, Hängematte, Reck","","","Quartierspielplatz","Spielplatz","sp059","Kiesplatz","0059"
"","N","","","","","","","sp9647","","TAZ009"
"","N","","","","","","","sp9568","","0151A"
"46","J","0 - 5 Jahre","Pumpen, Brettschaukel, Sandbereich","","","ruhig, schön gelegene Anlage","Spielplatz","sp046","Spiel- und Liegewiese","0046"
"51","J","0 - 5 Jahre","Sitzkarussell, Brettschaukel, Federwippe, Rutsche, Sandbereich","","","eingefriedeter Kleinkinderspielplatz","Spielplatz","sp051","Kleinkinderspielplatz","0051"
"137","J","0 - 5 Jahre","keine Spielgeräte","","","Waldspielplatz in Waldlichtung, Aussichtsturm","Spielfläche im Wald","sp137","grosse Kiesfläche","0137"
"","N","","","","","","","sp9648","","TAZ010"
"90","J","0 - 9 Jahre","Brettschaukel, Bockrutsche, Kletteranlage mit Rutsche, Pumpen, Sandbereich","","","grosszügige Parkanlage mit Heckenlabyrinth","Spielplatz","sp090","Spiel- und Liegewiese,  Wasserspielbereich","0090"
"","N","","","","","","","sp9569","","0151B"
"33a","J","0 - 16 Jahre","Sandbereich, Brettschaukel, Kletteranlagen mit Rutsche, Korbschaukel, Tischtennistisch","","","Gemeinschaftszentrum, sehr grosszügige Anlage mit Aussicht, Pflanzenlabyrinth","GZ mit Spielplatz","sp033a","Spiel- und Liegewiese","0033A"
"","N","","","","","","","sp9623","","0088B"
"85","J","0 - 9 Jahre","Balkenwippe, Spielhaus, Federwippe, Sitzkarussell, Kletteranlage mit Rutsche, Hangrutsche, Brettschaukel, Federwippe, Sandbereich, Tischtennistisch","","","einzigartige, krumme und schiefe Kletteranlage","Spielplatz","sp085","Spiel- und Liegewiese","0085"
