"nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","poi_id","elemente","gsz_id"
"56","J","0 - 99 Jahre","Kletternetzpyramide, Rotationsgerät, Hüpfteller, Bockrutsche, Kombischaukel, Sandbereich, Brettschaukel, Hangrutsche, Spielhaus,  Labyrinth, Pumpe, Grosser Wippboden","","","Gemeinschaftszentrum, Vorplatz als Generationenplatz","GZ mit Spielplatz","sp056","Grosser Quartierspielplatz","0056"
"71","J","0 - 16 Jahre","Gurtensteg, Kombischaukel, Seilanlage mit Rutsche, Balanciergerät, Balanciergerät, Bockrutsche, Pumpe, Kombischaukel, Federwippe, Drehkletterturm","","","schöner Baumbestand","Spielplatz","sp071","Spielwiese, Spielfläche","0071"
"176","J","0 - 16 Jahre","Hängematte, Brettschaukel, Seilanlage, Tischtennistisch","","","Quartierspielplatz mit Hartplatz","Spielplatz","sp176","Spiel- und Liegefläche, Kiesfläche, Hartplatz","0176"
"37","J","0 - 5 Jahre","Sandbereich, Federwippe, Brettschaukel, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","sp037","Sandanlage, Kiesrasenfläche","0037"
"142","J","4 - 9 Jahre","Federwippe, Kletteranlage mit Rutsche, Tischtennistisch","","","liegt innerhalb der Tennisanlage, Öffnungszeiten beachten!","Spielplatz","sp142","Spiel- und Liegewiese","0142"
"100","J","0 - 5 Jahre","Brettschaukel, Federwippe, Pumpen, Sandbereich,Tischtennistisch","","","kleine Spielanlage","Spielplatz","sp100","Kiesplatz","0100"
"25","J","0 - 9 Jahre","Brettschaukel, Sandkasten, Sitzkarussell","","","Ausflugsziel, Aussicht, am Waldrand","Spielplatz","sp025","Spiel- und Liegewiese, Spielhügel","0025"
"129","J","0 - 9 Jahre","Pendelschaukel, Balanciergerät, Drehteller, Kletterelement, Drehkletterturm, Tischtennistisch","","","Parkanlage mit kleiner Spielanlage","Spielplatz","sp129","Spiel- und Liegewiese","0129"
"39","J","0 - 16 Jahre","Balanciergerät, Sandbereich, Hangrutsche, Brettschaukel, Geschlossene Rutsche, Reck, Federwippe, Kletteranlage mit Rutsche, Tischtennistisch","","","Grosszügige Parkanlage","Spielplatz","sp039","Spiel- und Liegewiese, Wasserspielbereich","0039"
"123","J","0 - 16 Jahre","Drehteller, Balanciergerät, Hängematte, Brettschaukel, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp123","Spiel- und Liegewiese, kleiner Wald","0123"
